Risk category and sub-category,Ref.,Question,Risk Scores,Justification
Complexity Score Calculation,3.1.10,"Based on the assessments above, calculate the total complexity score (out of 19). Refer to the scoring matrix: Low (<=5), Medium (6-11), High (>=12). Provide detailed scoring calculation and justification for each factor.",3,

Complexity Classification,3.1.11,"Based on the calculated score, assign the appropriate Complexity Classification (Low/Medium/High). This classification has direct implications for the Model Tier assignment and governance requirements.",3,

4. Model Materiality Assessment,,,,"In the AI context, Model Materiality is determined by Model Use and the level of application of human review/oversight into the AI technology development, training and output (Human in the Loop - HITL)."

Model Use Classification,4.1.1,"Determine whether model outputs are used for external-facing activity (e.g., client, regulator). Per the Model Use Rating table, external-facing use represents High materiality. Provide a detailed assessment of external usage scenarios, frequency, and significance.",3,

Internal Impact Assessment,4.1.2,"Assess whether model outputs are used for internal facing activity with direct impact on external output (e.g., risk management). Per the Model Use Rating table, this represents Medium materiality. Detail the impact flow from internal use to external outcomes.",2,

Operational Efficiency Use,4.1.3,"Evaluate whether model outputs are used for internal facing activity aimed at increasing operational efficiencies (e.g., data analytics, chatbot, translation). Per the Model Use Rating table, this represents Low materiality. Quantify efficiency benefits and usage patterns.",1,

HITL Implementation Level,4.1.4,"Assess the level of Human in the Loop implementation based on the HITL assessment matrix: Minimal (basic prompt engineering, no systematic review, no feedback loop), Standard (structured management, regular sampling, basic feedback), or Enhanced (comprehensive monitoring, active optimization, documented process). Provide detailed evidence for the assigned level.",3,

Prompt Engineering Assessment,4.1.5,"Evaluate the sophistication of prompt engineering implemented: Basic prompt engineering only (Minimal), Structured prompt management and version control (Standard), or Active prompt optimization based on user feedback (Enhanced). Detail the prompt management methodology and governance.",2,

Output Review Process,4.1.6,"Assess the systematic review of outputs: No systematic review (Minimal), Regular sampling and review (Standard), or Comprehensive output monitoring and quality control (Enhanced). Detail review procedures, sampling methodology, and documentation practices.",2,

Feedback Collection Framework,4.1.7,"Evaluate the feedback collection process: No feedback loop (Minimal), Basic feedback collection from end users (Standard), or Systematic collection and incorporation of SME feedback (Enhanced). Detail the feedback mechanisms, analysis methodology, and implementation procedures.",2,

Retrieval Quality Assessment,4.1.8,"Assess the evaluation of retrieval accuracy: No evaluation (Minimal), Periodic review of retrieval quality (Standard), or Regular evaluation of retrieval accuracy and relevance (Enhanced). Detail the evaluation methodology, metrics, and improvement processes.",2,

Edge Case Management,4.1.9,"Evaluate the process for handling edge cases: No process (Minimal), Periodic review (Standard), or Documented review process for edge cases (Enhanced). Detail the identification, documentation, and resolution procedures for edge cases.",2,

Knowledge Base Management,4.1.10,"Assess the management of the knowledge base: No assessment (Minimal), Periodic review (Standard), or Regular assessment of knowledge base quality and coverage (Enhanced). Detail the assessment methodology, quality metrics, and improvement processes.",2,

Model Materiality Matrix Application,4.1.11,"Apply the Model Materiality matrix to determine the appropriate materiality level based on the combination of HITL level (Minimal/Standard/Enhanced) and Model Use (High/Medium/Low). Reference the provided matrix to determine the final Materiality Rating (High/Medium/Low/Very Low).",3,

Materiality Justification,4.1.12,"Provide a comprehensive justification for the assigned Materiality Rating, referencing specific evidence from the HITL and Model Use assessments. This rating directly impacts the Model Tier assignment and governance requirements.",3,

5. Model Tier Assessment,,,,"Model Tier is determined by combining Model Complexity and Model Materiality according to the specified tiering matrix."

Tier Determination,5.1.1,"Using the Model Complexity (Section 3) and Model Materiality (Section 4) assessments, apply the Model Tier matrix to determine the appropriate Tier. The matrix combines Complexity (High/Medium/Low) and Materiality (High/Medium/Low/Very Low) to assign a Tier from 1 to 4, with Tier 1 representing the highest level of governance and Tier 4 the lowest.",3,

Tier Justification,5.1.2,"Provide a comprehensive justification for the proposed Model Tier assignment, referencing specific factors from the Complexity and Materiality assessments that influenced the determination. This justification should address how the assigned Tier reflects the risk profile of the model.",3,

Governance Implications,5.1.3,"Detail the governance implications of the assigned Model Tier, including: documentation requirements, review frequency, testing protocols, validation standards, approval authorities, and ongoing monitoring. Ensure alignment with organizational governance standards for the assigned Tier.",2,

Alternative Tier Consideration,5.1.4,"If an alternative Tier was considered, provide a detailed rationale for why it was not selected. Include comparative analysis of risk factors under different Tier classifications and justification for the final determination.",2,

Tier Assignment Impact,5.1.5,"Assess the business impact of the assigned Model Tier, including: resource requirements, timeline implications, operational constraints, and compliance obligations. How will these requirements be addressed in the implementation plan?",2,

6. Confirmation,,,,"A confirmation from the Model Identification Owner(s) or Owner of the Model must be provided that they agree with the AI Technology assessment including Model Tier assignment."

Owner Confirmation,6.1.1,"Confirm that the Model Identification Owner(s) or Owner of the Model has provided formal confirmation (via attached email or equivalent) that they agree with the comprehensive AI Technology assessment, including the Model Tier assignment. This confirmation establishes accountability for the assessment.",3,

Assessment Completeness,6.1.2,"Verify that all sections of this assessment template have been completed with appropriate detail and supporting evidence. Any sections deemed not applicable must include a supporting rationale explaining why the section does not apply.",2,

Review and Challenge Process,6.1.3,"Detail the review and challenge process applied to this assessment, including: reviewer identities, areas of focus, challenge outcomes, and resolution of any discrepancies. This process ensures the assessment has been subjected to appropriate scrutiny.",2,

Final Determination,6.1.4,"Provide the final determination regarding Model classification, Complexity, Materiality, and Tier assignment. This serves as the authoritative record for governance purposes.",3,

Approval Documentation,6.1.5,"Confirm that all required approvals have been obtained and documented according to governance requirements. This documentation establishes the official status of the assessment.",2,

7. Additional Risk Assessments,,,, 

Bias Risk Assessment,7.1.1,"Conduct a comprehensive assessment of whether the AI solution requires training with information that might cause bias or discrimination (gender, race, ethnicity, age, disability, etc.). Detail potential bias sources, risk levels, and business implications.",3,

Bias Controls Evaluation,7.1.2,"Evaluate all bias and fairness risk controls/metrics implemented in the model. Assess whether these have been validated through independent testing. Detail control mechanisms, testing methodology, and effectiveness measures.",2,

Transparency Assessment,7.1.3,"Assess how the AI solution is evaluated for transparency and explainability. Determine whether this evaluation is conducted internally, by an independent party, or by the service provider. Detail evaluation methodology and standards.",2,

Explainability Implementation,7.1.4,"Evaluate whether the AI solution has identified explainability metrics and an established process to explain how it works if requested. Detail the explainability framework, implementation approach, and effectiveness measures.",2,

Documentation Completeness,7.1.5,"Assess whether comprehensive internal documentation exists, including ownership information, development process, data sources, intended use, and incident management procedures. Detail documentation coverage and accessibility.",2,

Output Accuracy Evaluation,7.1.6,"Evaluate how the AI solution is assessed for accuracy of outputs against intended use. Determine whether this is conducted internally, by an independent party, or by the service provider. Detail evaluation methodology and performance metrics.",2,

Error Management Framework,7.1.7,"Assess the validations built to identify and correct errors in outputs and detect unexpected model changes. Detail monitoring systems, correction workflows, and effectiveness measures.",2,

Hallucination Risk Management,7.1.8,"Evaluate how hallucination risk is assessed and mitigated. Detail detection methods, controls, and mitigation strategies for managing AI hallucinations. Assess the effectiveness of these measures under various scenarios.",3,

Stress Testing Protocols,7.1.9,"Assess whether stress test scenarios have been conducted to verify performance under sudden changes in business conditions or inputs. Detail test scenarios, methodologies, and results. Evaluate the comprehensiveness of stress testing.",3,

Security Controls Assessment,7.1.10,"Evaluate security measures protecting against adversarial attacks or prompt injection vulnerabilities. Detail implemented controls, testing procedures, and effectiveness measures. Assess alignment with organizational security standards.",3,
